Tweet text,Link Title,Tweet total length,Hashtags length,Author total tweets,Author quality tweets,Host total urls,Host quality urls,Source total urls,Source quality urls,Number of hashtags,Number of user mentions,Quality score,Is retweet?
One of my more recent sculpts I did in Zbrush. Iron man head bust. http://t.co/xA6LcnBvfs,Nolan Jacobs on Instagram: “One of my more recent sculpts I did in Zbrush. Iron man head bust.”,89,0,1,0,63,0,59,0,0,0,-1,0
Pick up todays FREE #12DaysofZBrush training from Steve Lord now at http://t.co/UoCwiVMBRk! #ZBrush #vfx #3dart #cgi http://t.co/6lCDYBe2es,The Online Art School | UArtsy,139,39,15,0,5,0,23,5,5,0,-1,0
RT @UArtsy: Pick up todays FREE #12DaysofZBrush training from Steve Lord now at http://t.co/UoCwiVMBRk! #ZBrush #vfx #3dart #cgi http://t.…,The Online Art School | UArtsy,139,39,10,1,5,0,109,34,5,1,-1,1
Official ZBrush Summit Presentation- Hasbro http://t.co/HalebwDdK2,Official ZBrush Summit Presentation- Hasbro,66,0,6,6,6,6,8,6,0,0,1,0
RT @UArtsy: Pick up todays FREE #12DaysofZBrush training from Steve Lord now at http://t.co/UoCwiVMBRk! #ZBrush #vfx #3dart #cgi http://t.…,The Online Art School | UArtsy,139,39,21,0,5,0,21,0,5,1,-1,1
RT @UArtsy: Pick up todays FREE #12DaysofZBrush training from Steve Lord now at http://t.co/UoCwiVMBRk! #ZBrush #vfx #3dart #cgi http://t.…,The Online Art School | UArtsy,139,39,1,0,5,0,109,34,5,1,-1,1
RT @pixologic: Heres an early holiday treat for you! &gt;&gt; http://t.co/wRZB3IhqUp ZBrush 4R7 demo by our own Joseph Drust at CTN eXpo! http:/…,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,145,0,1,1,11,2,20,8,0,1,1,1
Its #TextureTuesday! Try our flower category! https://t.co/5FLWFUl0Or #3dsmax #zbrush #lightwave3d #autodeskmaya #3D http://t.co/lwoyvfjayU,The Texture Mill: Seamless High Res Textures and Design Texture Tool,139,61,1,0,1,0,109,34,6,0,-1,0
RT @UArtsy: Pick up todays FREE #12DaysofZBrush training from Steve Lord now at http://t.co/UoCwiVMBRk! #ZBrush #vfx #3dart #cgi http://t.…,The Online Art School | UArtsy,139,39,1,0,5,0,24,5,5,1,-1,1
CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo http://t.co/u4YwCM3PZF,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo | VK,76,0,1,1,1,1,1,1,0,0,1,0
CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo Im totally blown away. Cant believe what Im seeing. http://t.co/Hp9zgbB6wb,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,128,0,1,1,106,102,3,3,0,0,1,0
RT @pixologic: Dont miss Pablos fantastic #ZBrush skin material and tutorial breakdown! http://t.co/Xvhy53oPJ7 http://t.co/VLJA7X17dF,Dynamesh sketchbook - Page 19,133,6,1,1,11,2,24,5,1,1,1,1
ZBrush Professional Tips and Techniques http://t.co/9J7Tc3rzO1,Discount ZBrush Professional Tips and Techniques liushawn1970s blog message on Netlog,62,0,1,1,1,1,109,34,0,0,1,0
RT @ArtStationHQ: RT @Richenks: New CNR Up @ArtStationHQ http://t.co/Sp0NLYP3jM #3d #zbrush #keyshot http://t.co/KkBkqxFp7a,C.N.R MK-I Richie mason,123,19,3,0,16,0,20,8,3,3,-1,1
Great breakdown of Glen from the Walking Dead - created by Majid Esmaeili http://t.co/GeuXduUx87 #zbrush http://t.co/34zedinKKS,Home,127,6,2,0,1,0,23,5,1,0,-1,0
RT @CGStudentAwards: Great breakdown of Glen from the Walking Dead - created by Majid Esmaeili http://t.co/GeuXduUx87 #zbrush http://t.c…,Home,137,6,2,0,1,0,11,5,1,1,-1,1
Zbrush Tutorial – Clipping Brushes Quick Tip – CTRL Space Menu http://t.co/nwszJ56FVu,Zbrush Tutorial - Clipping Brushes Quick Tip - CTRL Space Menu,85,0,6,6,6,6,8,6,0,0,1,0
RT @CGStudentAwards: Great breakdown of Glen from the Walking Dead - created by Majid Esmaeili http://t.co/GeuXduUx87 #zbrush http://t.c…,Home,137,6,7,0,1,0,9,2,1,1,-1,1
RT @ShyneOne1: 3rd Eye #zbrush #pixologic #photoshop #shyne #3d #monster #creature #eye #3rd #zver http://t.co/ROrHaHEjFT,@hristianshyne on Instagram: “3rd Eye #zbrush #pixologic #photoshop #shyne #3d #monster #creature #eye #3rd #zver”,121,74,7,0,63,0,9,2,10,1,-1,1
RT @adamspizak: In case you missed it - Transience. #zbrush #c4d #awesome More at http://t.co/MwovpMExYB http://t.co/8VbpDCseS0,Behance,127,20,7,0,2,0,9,2,3,1,-1,1
RT @adamspizak: In case you missed it - Transience. #zbrush #c4d #awesome More at http://t.co/MwovpMExYB http://t.co/8VbpDCseS0,Adam Spizak on Instagram: “In case you missed it - Transience. #zbrush #c4d #awesome More at behance.net/spizak”,127,20,7,0,63,0,9,2,3,1,-1,1
Video: speed modeling Smaug in Zbrush —- Hoy os traigo un speed modeling de Smaug el dragon de la pelicula... http://t.co/GUn7A19okF,Life Is Better When You Huggle [and then some >=3] — speed modeling Smaug in Zbrush —- Hoy os traigo un...,132,0,2,2,12,1,13,1,0,0,1,0
RT speed modeling Smaug in Zbrush https://t.co/gTWlKdTwjL http://t.co/3Z4NHMRSvl,Jaques Strapp - Google+,80,0,2,2,1,1,1,1,0,0,1,0
RT speed modeling Smaug in Zbrush https://t.co/gTWlKdTwjL http://t.co/3Z4NHMRSvl,speed modeling Smaug in Zbrush,80,0,2,2,106,102,1,1,0,0,1,0
On the 10th day of ZBrush @UArtsy gave to me Ten (Steve) Lords a Leaping... https://t.co/sdL7q944Ws #12DaysofZBrush,Female Face Sculpting with Steve Lord,115,14,3,0,5,0,45,15,1,1,-1,0
I liked a @YouTube video http://t.co/dimd5Ysoxh CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,101,0,1,1,106,102,66,59,0,1,1,0
RT @CGStudentAwards: Great breakdown of Glen from the Walking Dead - created by Majid Esmaeili http://t.co/GeuXduUx87 #zbrush http://t.c…,Home,137,6,1,0,1,0,2,1,1,1,-1,1
Excellent and very useful tutorial on creating realistic skin in #ZBrush by @pablander - http://t.co/Eb5CmE5vxQ #3D #render #tutorial,Dynamesh sketchbook - Page 19,133,28,1,1,11,2,109,34,4,1,1,0
RT @adamspizak: In case you missed it - Transience. #zbrush #c4d #awesome More at http://t.co/MwovpMExYB http://t.co/8VbpDCseS0,Behance,127,20,2,0,2,0,24,5,3,1,-1,1
RT @adamspizak: In case you missed it - Transience. #zbrush #c4d #awesome More at http://t.co/MwovpMExYB http://t.co/8VbpDCseS0,Adam Spizak on Instagram: “In case you missed it - Transience. #zbrush #c4d #awesome More at behance.net/spizak”,127,20,2,0,63,0,24,5,3,1,-1,1
RT @ShyneOne1: 3rd Eye #zbrush #pixologic #photoshop #shyne #3d #monster #creature #eye #3rd #zver http://t.co/ROrHaHEjFT,@hristianshyne on Instagram: “3rd Eye #zbrush #pixologic #photoshop #shyne #3d #monster #creature #eye #3rd #zver”,121,74,2,0,63,0,24,5,10,1,-1,1
Making of Female Character - Norse with Zbrush | AVCGI 360 http://t.co/yKAJlnJuo9,Making of Female Character - Norse with Zbrush | AVCGI 360,81,0,11,11,6,6,45,15,0,0,1,0
My first sterling silver ring. Sculpted in #zbrush and printed through #shapeways. This fits my thumb… http://t.co/btoMc9rMVz,Matthew Amey on Instagram: “My first sterling silver ring. Sculpted in #zbrush and printed through #shapeways. This fits my thumb and is probably a size 16. Im stoked…”,125,17,3,0,63,0,59,0,2,0,-1,0
Front view (i need to find a tool that works like a wedge) i definitely want zbrush on my computer now… http://t.co/SUBU2iN4xj,deda daniels on Instagram: “Front view (i need to find a tool that works like a wedge) i definitely want zbrush on my computer now hahaah I want to finish this…”,126,0,2,0,63,0,59,0,0,0,-1,0
Front view (i need to find a tool that works like a wedge) i definitely want zbrush on my computer now hahaah I... http://t.co/bqUiI4MHzO,Timeline Photos - The Pirate Balthasar | Facebook,137,0,2,0,23,1,29,6,0,0,-1,0
I liked a @YouTube video from @bhupifxartist http://t.co/Jde5D6qaKQ Raphael Grasseti Session at ZBrush Summit 2014,Raphael Grasseti Session at ZBrush Summit 2014,114,0,1,1,106,102,66,59,0,2,1,0
Free Furniture and Tree 3D Models collection: [ #3dmodel #3dsMax #Zbrush #Furniture ]CG… http://t.co/toKDoBYKSh,Free Furniture and Tree 3D Models collection | CG Daily news,111,34,2,2,7,2,66,59,4,0,1,0
#Zbrush Demon - 3D Bust http://t.co/ehEw6LHGIr #Creatures #design #pedrams #photoblog #VFX #visualeffects,,105,65,4,3,1,0,4,3,7,0,-1,0
Check out the inspiring Joseph Drust showing #Zbrush 4R7 Demo @ CTN animation eXpo 2014.https://t.co/KcOCo2WfEX #digitalart #sculpting #3d,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,138,33,1,1,106,102,109,34,4,0,1,0
RT @3dlix: Check out the inspiring Joseph Drust showing #Zbrush 4R7 Demo @ CTN animation eXpo 2014.https://t.co/KcOCo2WfEX #digitalart #scu…,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,140,33,5,2,106,102,5,2,4,1,1,1
Mariano Steiner one of the #THU2014 attendees has made the top row on ZBrush Central! Whats more: the featured... http://t.co/hkn17NP6ui,Timeline Photos - Trojan Horse was a Unicorn | Facebook,136,7,1,0,23,1,29,6,1,0,-1,0
3rd Eye 2nd pose #zbrush #pixologic #photoshop #shyne #3d #creature #zver #3rd #eye http://t.co/pirupRDZYS,@hristianshyne on Instagram: “3rd Eye 2nd pose #zbrush #pixologic #photoshop #shyne #3d #creature #zver #3rd #eye”,106,65,6,0,63,0,59,0,9,0,-1,0
CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo: http://t.co/xN6KbOKcAm via @YouTube,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,90,0,1,1,106,102,45,15,0,1,1,0
I liked a @YouTube video http://t.co/G7P3PQe6kU Zbrush Hardsurface Techniques part 1,Zbrush Hardsurface Techniques part 1,84,0,1,1,106,102,66,59,0,1,1,0
How to Create Realistic Male Model with Zbrush | AVCGI 360 http://t.co/LzHY3PMmhE,How to Create Realistic Male Model with Zbrush | AVCGI 360,81,0,11,11,6,6,45,15,0,0,1,0
RT @pixologic: Dont miss Pablos fantastic #ZBrush skin material and tutorial breakdown! http://t.co/Xvhy53oPJ7 http://t.co/VLJA7X17dF,Dynamesh sketchbook - Page 19,133,6,1,1,11,2,109,34,1,1,1,1
[ #3dmodel #3dsMax #Zbrush #Furniture ] CG Artist based in Vitebsk Belarus - Andrei Mikhalenko has shared his... http://t.co/Y6ApalgrRC,Free Furniture and Tree 3D Models collection | CG Daily news,135,34,2,2,3,1,29,6,4,0,1,0
ESSENTIAL ZBRUSH (Wordware Game and Graphics Library) - http://t.co/bwpMSEULR3 http://t.co/8dgfwmiEoO,ESSENTIAL ZBRUSH (Wordware Game and Graphics Library),101,0,1,0,1,0,1,0,0,0,-1,0
11th day is for texturing and rendering! #ZBrush @uartsy Congrats! You have joined this course. | UArtsy https://t.co/KRjpgyulzc,Texturing A Head In ZBrush And Rendering In Marmoset | UArtsy,128,6,2,0,5,0,45,15,1,1,-1,0
I want him hes so cute like a little space goat or something ZBrush sketchbook of Zhelong Xu http://t.co/Rn9sC4LAaN,3D Character,115,0,1,0,10,6,9,6,0,0,-1,0
ArtStation - zbrush June Ho Cho http://t.co/7hgREG1cAa,3D - DAZ/Poser/Blender/Zbrush,54,0,1,0,10,6,9,6,0,0,-1,0
CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo http://t.co/KD9BXfvrUf,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,76,0,1,1,11,2,24,5,0,0,1,0
RT @pixologic: Capuchin Thug illustration by Seid based on a concept by James Kei. More: http://t.co/uRtJ6ja4SD #ZBrush http://t.co/UBjd…,Character sketchbook by Seid - Page 2,137,6,2,0,11,2,109,34,1,1,-1,1
Photo: bestcginspiration: Elizabeth created by Arda Koyuncu using ZBrush Mudbox and VRay. http://t.co/6VjlQhwqRT,Renaissance Ninja — bestcginspiration: Elizabeth created by Arda...,112,0,1,0,12,1,13,1,0,0,-1,0
FREE training on texturing in #ZBrush &amp; rendering in #Marmoset TODAY ONLY at http://t.co/UoCwiVMBRk! #12DaysofZBrush http://t.co/89hkgByPiW,The Online Art School | UArtsy,143,32,15,0,5,0,23,5,3,0,-1,0
Awesome new work from @JohnmahoneyJohn modeled in ZBrush rendered in KeyShot http://t.co/oKzHcyIQM6,John Mahoney on Instagram: “#zbrush #keyshot”,99,0,2,0,63,0,1,0,0,1,-1,0
RT @CGStudentAwards: Great breakdown of Glen from the Walking Dead - created by Majid Esmaeili http://t.co/GeuXduUx87 #zbrush http://t.c…,Home,137,6,1,0,1,0,109,34,1,1,-1,1
RT @testanswers100: ZBrush Test Answers http://t.co/5QG7MlVnmE,ZBrush,62,0,1,0,1,0,45,15,0,1,-1,1
Render of the day - Ron Mueck Tribute: http://t.co/YPmRKe4iL3 #zbrush #vray,CG Inspiration,75,12,2,0,12,1,13,1,2,0,-1,0
RT @andrewpprice: Render of the day - Ron Mueck Tribute: http://t.co/YPmRKe4iL3 #zbrush #vray,CG Inspiration,93,12,8,3,12,1,6,0,2,1,-1,1
RT @UArtsy: FREE training on texturing in #ZBrush &amp; rendering in #Marmoset TODAY ONLY at http://t.co/UoCwiVMBRk! #12DaysofZBrush http://t.c…,The Online Art School | UArtsy,144,32,3,0,5,0,24,5,3,1,-1,1
Photo: bestcginspiration: Elizabeth created by Arda Koyuncu using ZBrush Mudbox and VRay. http://t.co/oWLmxoEtC2,Not your standard button ;-) : bestcginspiration: Elizabeth created by Arda...,112,0,1,0,12,1,13,1,0,0,-1,0
Not the most festive of subjects but here is my Personal Project 102. https://t.co/AVPlbetnbT #3d #Maya #Zbrush #Cgi,BugLite: Project 102 - Assault rifle.,116,21,2,0,3,0,3,0,4,0,-1,0
Spiderman NOIR #art #artfollowsme #3dsculpt #3dmodeler #3dobjects #3drenders #zbrush #keyshot #marvel… http://t.co/cYwzpmgqxM,Dwayne Hanley on Instagram: “Spiderman NOIR #art #artfollowsme #3dsculpt #3dmodeler #3dobjects #3drenders #zbrush #keyshot #marvel #marvelcomics #marvelcharacter…”,125,85,12,0,63,0,59,0,9,0,-1,0
Spiderman NOIR #art #artfollowsme #3dsculpt #3dmodeler #3dobjects #3drenders #zbrush #keyshot #marvel… http://t.co/6pJWpKbJvO,Dwayne Hanley on Instagram: “Spiderman NOIR #art #artfollowsme #3dsculpt #3dmodeler #3dobjects #3drenders #zbrush #keyshot #marvel #marvelcomics #marvelcharacter…”,125,85,12,0,63,0,59,0,9,0,-1,0
Not the most festive of subjects but here is my Personal Project 102 http://t.co/uW9vpSMOIs #3d #Maya #Zbrush #Cgi http://t.co/OEeHe8uiXE,BugLite: Project 102 - Assault rifle.,137,21,2,0,1,0,109,34,4,0,-1,0
.....and a close up render. Check him out on @ArtStationHQ http://t.co/SByRcAkpR2 #3dart #ZBrush http://t.co/QW7fW7MLDO,Fisherman Nick Gunn,119,13,1,0,16,0,109,34,2,1,-1,0
RT @Gunn3D: .....and a close up render. Check him out on @ArtStationHQ http://t.co/SByRcAkpR2 #3dart #ZBrush http://t.co/QW7fW7MLDO,Fisherman Nick Gunn,131,13,10,1,16,0,109,34,2,2,-1,1
RT @Gunn3D: .....and a close up render. Check him out on @ArtStationHQ http://t.co/SByRcAkpR2 #3dart #ZBrush http://t.co/QW7fW7MLDO,Fisherman Nick Gunn,131,13,21,0,16,0,21,0,2,2,-1,1
RT @artfollowsme: Spiderman NOIR #art #artfollowsme #3dsculpt #3dmodeler #3dobjects #3drenders #zbrush #keyshot #marvel… http://t.co/cYwzpm…,Dwayne Hanley on Instagram: “Spiderman NOIR #art #artfollowsme #3dsculpt #3dmodeler #3dobjects #3drenders #zbrush #keyshot #marvel #marvelcomics #marvelcharacter…”,140,85,1,0,63,0,24,5,9,1,-1,1
Congrats! You have joined this course. | UArtsy got to hand it to ya Ryan https://t.co/DYiPet6uUE,Texturing A Head In ZBrush And Rendering In Marmoset | UArtsy,97,0,3,1,5,0,45,15,0,0,-1,0
Young #Medusa by George Manolache http://t.co/3UrDylbLXH #3dsmax #zbrush #nuke #photoshop #cgi #digitalsculpting http://t.co/UEFzuPfERO,Young Medusa by George Manolache | Portrait | 3D | CGSocietylarrgrid-buttonrarrproject-thumbnail-commentsfooter-logo,135,62,15,0,1,0,23,5,7,0,-1,0
RT @pixologic: Heres an early holiday treat for you! &gt;&gt; http://t.co/wRZB3IhqUp ZBrush 4R7 demo by our own Joseph Drust at CTN eXpo! http:/…,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,145,0,1,1,11,2,109,34,0,1,1,1
On the 11th day of ZBrush @UArtsy gave to me Eleven Texturing Pipelines… https://t.co/BPf2CI3tXt #12DaysofZBrush,Texturing A Head In ZBrush And Rendering In Marmoset | UArtsy,112,14,3,0,5,0,45,15,1,1,-1,0
Basic Lighting and Compositing in Zbrush and Photoshop http://t.co/GHFtwnf87P,G_ZBRUSH_WORLD,77,0,7,6,10,6,9,6,0,0,-1,0
RT @UArtsy: Young #Medusa by George Manolache http://t.co/3UrDylbLXH #3dsmax #zbrush #nuke #photoshop #cgi #digitalsculpting http://t.co/UE…,Young Medusa by George Manolache | Portrait | 3D | CGSocietylarrgrid-buttonrarrproject-thumbnail-commentsfooter-logo,140,62,3,0,1,0,24,5,7,1,-1,1
timothy_yim: Spark Cluster on YARN any size - ZBrush Digital Sculpting Human Anatomy - https://t.co/vUIwJuQpo1,1-Click Spark Cluster Cloudata+MBatch/Interactive/Streaming Analytics on AWS Marketplace,110,0,2,0,1,0,2,0,0,0,-1,0
My #Gollum wishes you #MerryChristmas :) / Mi Gollum os desea #FelizNavidad / #lotr #esdla #ZBrush #sculpting... http://t.co/Ltre5Mu10v,JLMayen - Timeline Photos | Facebook,135,68,2,0,23,1,29,6,7,0,-1,0
I added a video to a @YouTube playlist http://t.co/ap6r3xLYes Zbrush Multi-Map Exporter: Creating multi-tile displacement maps &amp;,Zbrush Multi-Map Exporter: Creating multi-tile displacement maps & rendering them with Vray for Maya,132,0,3,3,106,102,66,59,0,1,1,0
I added a video to a @YouTube playlist http://t.co/lpTtJXWKZZ Displacement Mapping in Maya with ZBrush Displacement Maps,Displacement Mapping in Maya with ZBrush Displacement Maps,120,0,3,3,106,102,66,59,0,1,1,0
I added a video to a @YouTube playlist http://t.co/shkfsUd8e1 Displacement Mapping in Maya with ZBrush Displacement Maps,Displacement Mapping in Maya with ZBrush Displacement Maps,120,0,3,3,106,102,66,59,0,1,1,0
ZBrush Character Creation Workflow from Walt Disney Animation Studios. http://t.co/5jiMfxFnZR,ZBrush Character Creation Workflow from Walt Disney Animation Studios,93,0,1,1,2,2,109,34,0,0,1,0
Congrats! You have joined this course. | UArtsy https://t.co/hlLi63yYED,Texturing A Head In ZBrush And Rendering In Marmoset | UArtsy,71,0,4,1,5,0,45,15,0,0,-1,0
I added a video to a @YouTube playlist http://t.co/yTLjcCPnBP CGI 3D Tutorial HD: Masking in ZBrush - by 3dmotive,CGI 3D Tutorial HD: Masking in ZBrush - by 3dmotive,113,0,5,5,106,102,66,59,0,1,1,0
I added a video to a @YouTube playlist http://t.co/6AkfPQ7f5K Masking Using Color In ZBrush,Masking Using Color In ZBrush,91,0,5,5,106,102,66,59,0,1,1,0
RT @andrewpprice: Render of the day - Elizabeth: http://t.co/9bObA1MV3g #zbrush #mudbox #vray,CG Inspiration,93,20,1,0,12,1,109,34,3,1,-1,1
Not done yet but Im really having fun with zbrush on this snake #zbrush #cg #snake #fangs #scales… http://t.co/kuci87aC65,Andy McCracken on Instagram: “Not done yet but Im really having fun with zbrush on this snake #zbrush #cg #snake #fangs #scales #green #diamond #reflections”,121,32,1,0,63,0,59,0,5,0,-1,0
Game Hair Tutorial (Zbrush &amp; Maya)Computer Graphics &amp; Digital Art Community for Artist: Job Tutoria http://t.co/fQ7ZeW0lou,G_ZBRUSH_WORLD,130,0,7,6,10,6,9,6,0,0,1,0
ZBrush for Concept Design - Mech Design - YouTube http://t.co/6p2aSBD2zI,G_ZBRUSH_WORLD,72,0,7,6,10,6,9,6,0,0,1,0
ZBrush Subtools UVs Surface and Morph http://t.co/u6pvDj35f8,G_ZBRUSH_WORLD,60,0,7,6,10,6,9,6,0,0,1,0
